Complete address,Doctors name,Specialty,Clinic/Hospital,Years of experience,Contact number,Ratings,Contact email,Reviews,"Summary of Pros and Cons (Summary of reviews), and recommendation"
"Area 1, Pune - 411001",Dr. Manipal Hospitals,Cardiology,Manipal Hospitals Clinic,13,+91 9472217501,4.0,dr1@gmail.com,123,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 2, Pune - 411002",Dr. Aditya Birla Memorial Hospital,Cardiology,Aditya Birla Memorial Hospital Clinic,21,+91 9272331745,3.7,dr2@gmail.com,187,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 3, Pune - 411003",Dr. 7 Orange Hospital,Cardiology,7 Orange Hospital Clinic,6,+91 9799695423,3.6,dr3@gmail.com,67,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 4, Pune - 411004",Dr. Manipal Hospital,Cardiology,Manipal Hospital Clinic,10,+91 9485096395,3.6,dr4@gmail.com,123,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 5, Pune - 411005",Dr D Y Patil Medical College Hospital and Research Centre,Cardiology,Dr D Y Patil Medical College Hospital and Research Centre Clinic,13,+91 9473979888,3.5,dr5@gmail.com,186,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 6, Pune - 411006",Dr. Jeewan Jyot Multispeciality Medicare Centre,Cardiology,Jeewan Jyot Multispeciality Medicare Centre Clinic,25,+91 9260106884,4.3,dr6@gmail.com,16,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 7, Pune - 411007",Dr. Harneshwar Multispeciality Hospital,Cardiology,Harneshwar Multispeciality Hospital Clinic,22,+91 9358685446,3.6,dr7@gmail.com,82,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 8, Pune - 411008",Dr. Madhav Baug Clinic,Cardiology,Madhav Baug Clinic Clinic,5,+91 9758696489,3.7,dr8@gmail.com,16,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 9, Pune - 411009",Dr. Sunrise Hospital,Cardiology,Sunrise Hospital Clinic,17,+91 9734084691,4.1,dr9@gmail.com,175,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 10, Pune - 4110010",Dr. P H Diagnostic Center,Cardiology,P H Diagnostic Center Clinic,18,+91 9509361053,3.8,dr10@gmail.com,55,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 12, Pune - 4110012",Dr. The Galaxy Diagnostic Centre and Pathology Lab,Cardiology,The Galaxy Diagnostic Centre and Pathology Lab Clinic,20,+91 9660613051,4.3,dr12@gmail.com,79,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 13, Pune - 4110013",Dr. Rao Nursing Home,Cardiology,Rao Nursing Home Clinic,10,+91 9005081186,4.7,dr13@gmail.com,131,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
